821, 30.002310, 29.375882
489, 27.529241, 30.394485
215, 22.776433, 31.577368
400, 20.752143, 30.028866
231, 15.489297, 29.278388
606, 13.487814, 30.965992
457, 9.275849, 34.502836
697, 7.336763, 39.970154
964, 5.292353, 46.018550
935, 1.369115, 54.486343
554, 3.525848, 59.434980
88, 4.844659, 64.735721
260, 4.591817, 69.924443
595, 6.846161, 74.683454
421, 8.749536, 77.711136
50, 11.701753, 81.226066
157, 15.068599, 86.213467
427, 18.707492, 86.099489
756, 22.960852, 86.534399
153, 24.424921, 85.597103
750, 28.110650, 87.887959
136, 32.398839, 88.762158
279, 37.847515, 89.349455
232, 41.949758, 90.992314
397, 45.162312, 91.820553
27, 50.415293, 90.014048
915, 55.299421, 90.393066
776, 59.084763, 89.074220
